user,lang,title,timestamp,pageid,revid,parentid,sizediff
192.197.82.153,en,Noam Chomsky,2005-01-24T22:20:01Z,21566,9653831,9624290,9
192.197.82.153,en,Willie Adams,2005-02-04T20:19:34Z,705884,13096944,9946154,1
192.197.82.153,en,Don Boudria,2005-04-12T15:39:03Z,479215,12458768,12210018,320
192.197.82.153,en,Helena Guergis,2005-04-29T12:01:39Z,1415882,12987067,12971149,-237
192.197.82.153,en,Gerry Ritz,2005-05-02T21:50:03Z,1831626,13179278,0,130
192.197.82.153,en,Gerry Ritz,2005-05-03T15:07:31Z,1831626,13197551,13179278,194
192.197.82.153,en,Jeremy Harrison,2005-05-03T15:24:57Z,1834907,13197734,0,334
192.197.82.153,en,Gatineau (electoral district),2005-05-16T18:41:04Z,1745109,17398215,13794806,0
192.197.82.153,en,Larry Miller (Canadian politician),2005-05-17T21:06:39Z,1415770,13851153,13851146,-2
192.197.82.153,en,Larry Miller (Canadian politician),2005-05-17T21:07:00Z,1415770,13851168,13851153,1
192.197.82.153,en,Larry Miller (Canadian politician),2005-05-17T21:07:15Z,1415770,13851218,13851168,-1
192.197.82.153,en,Larry Miller (Canadian politician),2005-05-17T21:08:45Z,1415770,13851456,13851218,-2
192.197.82.153,en,Larry Miller (Canadian politician),2005-05-17T21:13:53Z,1415770,13899685,13851456,2
192.197.82.153,en,Nathan Cullen,2005-05-24T20:17:48Z,1345356,15157098,14177115,77
192.197.82.153,en,Belinda Stronach,2005-05-24T21:52:43Z,418740,14186586,14181865,62
192.197.82.153,en,Jason Kenney,2005-06-04T21:01:28Z,439331,14717078,14708214,-202
192.197.82.153,en,Quebec,2005-06-08T15:56:36Z,7954867,14914238,14880627,0
192.197.82.153,en,Quebec,2005-06-08T15:57:02Z,7954867,14880644,14914238,0
192.197.82.153,en,Steven Fletcher (politician),2005-06-09T12:50:13Z,773683,14955380,14925850,985
192.197.82.153,en,Myrna Driedger,2005-06-14T00:12:00Z,980988,15199244,15146040,-124
192.197.82.153,en,Terry Mercer,2005-06-25T21:26:35Z,1461743,17166781,15828121,-1
192.197.82.153,en,Talk:Canadian order of precedence,2005-07-04T20:44:52Z,225021,18148896,16104844,800
192.197.82.153,en,Talk:Order of Canada,2005-07-05T18:29:51Z,1902618,18206413,18192424,197
192.197.82.153,en,Senate of Canada,2005-08-09T19:54:24Z,123498,20641144,20376777,237
192.197.82.153,en,Jim Cowan,2005-08-29T22:20:08Z,1643851,22131050,17310571,1
192.197.82.153,en,Death and state funeral of Pierre Trudeau,2005-09-17T17:45:17Z,30865451,23403890,20246339,1
192.197.82.153,en,Ontario New Democratic Youth,2005-09-27T01:29:26Z,2290095,24123508,21298727,61
192.197.82.153,en,Ontario New Democratic Youth,2005-10-18T21:00:05Z,2290095,25858752,25776499,1
192.197.82.153,en,Ontario New Democratic Youth,2005-10-18T21:01:03Z,2290095,25858836,25858752,2
192.197.82.153,en,Gerald Keddy,2005-10-19T20:24:38Z,600339,25945992,22107655,80
192.197.82.153,en,Gerald Keddy,2005-10-19T20:25:25Z,600339,25946055,25945992,11
192.197.82.153,en,Fuel cell,2005-10-20T13:35:59Z,11729,26005975,25942043,21
192.197.82.153,en,Labrador,2005-10-21T17:10:40Z,58647,26109418,25875937,120
192.197.82.153,en,Percy Sparks,2005-11-01T16:42:33Z,2856102,27083241,26730773,59
192.197.82.153,en,Percy Sparks,2005-11-01T16:44:52Z,2856102,27083408,27083241,-25
192.197.82.153,en,Percy Sparks,2005-11-01T16:46:03Z,2856102,27083503,27083408,1
192.197.82.153,en,Percy Sparks,2005-11-01T16:48:16Z,2856102,27083659,27083503,-12
192.197.82.153,en,Dan Hays,2005-11-25T17:14:42Z,664349,29220790,28864804,2145
192.197.82.153,en,Dan Hays,2005-11-25T17:16:32Z,664349,29220912,29220790,0
192.197.82.153,en,Danny Michel,2005-12-06T20:51:53Z,3160583,30386018,30347044,977
192.197.82.153,en,David Chatters,2005-12-15T15:48:14Z,439257,31477429,29774913,-434
192.197.82.153,en,David Chatters,2005-12-15T15:49:12Z,439257,31477551,31477429,0
192.197.82.153,en,Moulin Rouge,2005-12-17T05:19:31Z,43486,31700951,31369754,-4
192.197.82.153,en,Newfoundland and Labrador,2006-01-11T18:58:48Z,21980,34785814,34361901,-2
192.197.82.153,en,Black Rod,2006-01-12T20:52:46Z,243979,34929991,33990533,141
192.197.82.153,en,List of faux pas,2006-01-13T14:29:19Z,2846711,35020947,34872272,241
192.197.82.153,en,List of faux pas,2006-01-13T15:05:04Z,2846711,35024362,35020947,367
192.197.82.153,en,Order of Canada,2006-01-19T18:33:25Z,160112,35840525,35779517,22
192.197.82.153,en,Liberal Party of Canada,2006-01-24T21:29:41Z,149536,36549673,36536053,-9384
192.197.82.153,en,Frank McKenna,2006-01-30T20:35:32Z,170823,37402581,37396277,15
192.197.82.153,en,"Talk:Liberal Party of Canada leadership election, 2006",2006-01-30T20:44:28Z,3867308,37403816,37395489,290
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-02-01T18:25:04Z,3827549,37707660,37706039,196
192.197.82.153,en,Speaker of the House of Commons (Canada),2006-02-03T20:07:05Z,368593,38042075,36700752,186
192.197.82.153,en,Speaker of the Senate (Canada),2006-02-03T20:11:21Z,752534,38042677,37747410,181
192.197.82.153,en,Senate of Canada,2006-02-06T20:15:56Z,123498,38504226,38490682,25
192.197.82.153,en,Talk:Michael Fortier,2006-02-06T20:17:48Z,682193,38504463,38502570,39
192.197.82.153,en,Senate of Canada,2006-02-06T20:29:00Z,123498,38505936,38504226,-1
192.197.82.153,en,Peter Milliken,2006-02-07T17:09:19Z,623628,38634849,38548828,19
192.197.82.153,en,Paul Martin,2006-02-07T18:20:00Z,129205,38643315,38603657,35
192.197.82.153,en,Marjory LeBreton,2006-02-07T18:20:57Z,1341291,38643440,38587747,8
192.197.82.153,en,Marjory LeBreton,2006-02-07T18:23:12Z,1341291,38643697,38643440,35
192.197.82.153,en,Michael Chong,2006-02-07T18:29:52Z,1470893,38644485,38625781,-218
192.197.82.153,en,Michael Chong,2006-02-07T18:30:47Z,1470893,38644607,38644485,-57
192.197.82.153,en,Talk:Cabinet of Canada,2006-02-09T21:03:00Z,845198,38966854,38921768,1502
192.197.82.153,en,Cabinet of Canada,2006-02-09T21:08:11Z,261417,38967527,38880723,132
192.197.82.153,en,Minister of Social Development (Canada),2006-02-09T21:12:06Z,845745,38967993,38521273,274
192.197.82.153,en,List of Canadian Ministers of Social Development,2006-02-09T21:13:39Z,768921,38968193,38521417,43
192.197.82.153,en,List of Canadian Ministers of Social Development,2006-02-09T21:15:15Z,768921,38968411,38968193,-5
192.197.82.153,en,Cabinet of Canada,2006-02-09T21:21:01Z,261417,38969183,38967527,-179
192.197.82.153,en,Talk:Cabinet of Canada,2006-02-09T21:35:22Z,845198,38971086,38966854,510
192.197.82.153,en,List of current Parliamentary Secretaries of Canada,2006-02-09T21:40:09Z,853777,38971744,38677980,0
192.197.82.153,en,Talk:Cabinet of Canada,2006-02-10T18:24:00Z,845198,39097338,39084679,236
192.197.82.153,en,"Canadian federal election, 2008",2006-02-10T18:32:50Z,3827068,39098413,39079562,42
192.197.82.153,en,Canadian order of precedence,2006-02-10T18:40:37Z,214447,39099350,39086387,-65
192.197.82.153,en,Prime Minister of Canada,2006-02-10T18:52:02Z,24135,39100757,39086937,-819
192.197.82.153,en,Talk:Prime Minister of Canada,2006-02-10T19:02:03Z,201191,39102052,38619611,1286
192.197.82.153,en,Cabinet of Canada,2006-02-13T16:55:31Z,261417,39479577,39460666,-6663
192.197.82.153,en,Cabinet of Canada,2006-02-13T16:58:45Z,261417,39479741,39479687,-8657
192.197.82.153,en,Mario Silva,2006-02-15T16:09:18Z,700197,39747187,38295164,-327
192.197.82.153,en,Labrador,2006-02-16T16:35:17Z,58647,39890817,39254161,290
192.197.82.153,en,Rigolet,2006-02-18T21:45:52Z,2538138,40193627,23786457,-166
192.197.82.153,en,Mario Silva,2006-02-20T18:13:29Z,700197,40456213,39798168,163
192.197.82.153,en,"Ottawa municipal election, 2006",2006-02-21T15:07:22Z,1821892,40573140,39499840,36
192.197.82.153,en,Andrew Scheer,2006-02-22T17:11:37Z,1368671,40731525,40187293,-172
192.197.82.153,en,Andrew Scheer,2006-02-22T17:12:45Z,1368671,40731656,40731525,21
192.197.82.153,en,Brad Trost,2006-02-24T20:40:59Z,1698646,41062436,36701157,-51
192.197.82.153,en,Mario Silva,2006-02-27T15:51:29Z,700197,41470491,40817065,14
192.197.82.153,en,Supreme Court of Canada,2006-02-27T21:56:47Z,123468,41515367,41498913,592
192.197.82.153,en,Supreme Court of Canada,2006-02-27T22:04:43Z,123468,41516470,41515367,134
192.197.82.153,en,Senate of Canada,2006-02-28T17:15:45Z,123498,41629393,41621266,-14724
192.197.82.153,en,Senate of Canada,2006-02-28T17:16:33Z,123498,41629479,41629393,2040
192.197.82.153,en,Senate of Canada,2006-02-28T17:21:46Z,123498,41630031,41629479,-2045
192.197.82.153,en,Senate of Canada,2006-02-28T17:24:50Z,123498,41630376,41630031,-2
192.197.82.153,en,Canadian Senate divisions,2006-02-28T20:58:37Z,1822287,41655100,40111891,-115
192.197.82.153,en,Supreme Court of Canada,2006-03-01T18:09:58Z,123468,41778804,41592681,-8812
192.197.82.153,en,Supreme Court of Canada,2006-03-01T18:10:25Z,123468,41778844,41778827,-8818
192.197.82.153,en,User talk:SNIyer12,2006-03-01T21:02:52Z,1693414,41800187,41737061,391
192.197.82.153,en,User talk:SNIyer12,2006-03-01T22:33:00Z,1693414,41812316,41800187,212
192.197.82.153,en,Joe Fontana,2006-03-03T19:49:23Z,479100,42091789,41946495,93
192.197.82.153,en,Wikipedia:Articles for deletion/Rachel Marsden (2nd nomination),2006-03-07T15:43:15Z,4307008,42652114,42635543,72
192.197.82.153,en,Wikipedia:Articles for deletion/Rachel Marsden (2nd nomination),2006-03-07T16:48:04Z,4307008,42660654,42659048,189
192.197.82.153,en,Wikipedia:Articles for deletion/Rachel Marsden (2nd nomination),2006-03-07T16:48:47Z,4307008,42660747,42660654,67
192.197.82.153,en,Wikipedia:Articles for deletion/Rachel Marsden (2nd nomination),2006-03-07T16:53:05Z,4307008,42661310,42660747,572
192.197.82.153,en,Wikipedia:Articles for deletion/Rabble,2006-03-07T17:00:31Z,4276167,42662275,42660496,11
192.197.82.153,en,Wikipedia:Articles for deletion/Rabble,2006-03-07T17:00:43Z,4276167,42662304,42662275,64
192.197.82.153,en,Wikipedia:Articles for deletion/Rachel Marsden (2nd nomination),2006-03-07T17:48:42Z,4307008,42669254,42668137,2665
192.197.82.153,en,Wikipedia:Articles for deletion/Rachel Marsden (2nd nomination),2006-03-07T18:54:44Z,4307008,42678833,42677030,2088
192.197.82.153,en,Wikipedia:Articles for deletion/Rachel Marsden (2nd nomination),2006-03-07T18:55:16Z,4307008,42678894,42678833,1
192.197.82.153,en,Battle of Ia Drang,2006-03-08T15:31:06Z,983126,42818665,42750496,3
192.197.82.153,en,Battle of Ia Drang,2006-03-09T16:01:29Z,983126,42983022,42925018,-6
192.197.82.153,en,Robert Falcon Scott,2006-03-09T16:32:40Z,25662,42986646,42912749,10
192.197.82.153,en,Mario Silva,2006-03-09T16:40:07Z,700197,42987547,41470491,57
192.197.82.153,en,List of Canadian Forces Naval Reserve divisions,2006-03-12T13:20:40Z,2689960,43431713,38028499,17
192.197.82.153,en,List of Canadian Forces Naval Reserve divisions,2006-03-12T13:23:17Z,2689960,43431930,43431713,24
192.197.82.153,en,Richard Mahoney,2006-03-19T04:07:42Z,22107177,44454818,43879648,13
192.197.82.153,en,Battle of Ia Drang,2006-03-21T15:13:03Z,983126,44820536,44752737,0
192.197.82.153,en,Sleeman Breweries,2006-03-23T21:12:50Z,950046,45157521,42849581,-123
192.197.82.153,en,Unibroue,2006-03-23T21:16:32Z,1099786,45158210,33403558,60
192.197.82.153,en,Ron Cannan,2006-03-27T15:03:15Z,4302105,45710885,45001111,5
192.197.82.153,en,Tony Ianno,2006-04-05T16:27:05Z,618530,47110196,45662578,-11
192.197.82.153,en,Jane Stewart (politician),2006-04-18T19:30:42Z,468269,49043750,48779663,207
192.197.82.153,en,Paul Forseth,2006-04-21T18:34:14Z,891527,49479348,46953444,1
192.197.82.153,en,"Talk:Liberal Party of Canada leadership election, 2006",2006-05-02T22:02:55Z,3867308,51266878,51171483,880
192.197.82.153,en,Talk:The Original Kings of Comedy,2006-05-03T22:55:04Z,3195836,51437917,47346882,120
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-05-04T19:23:21Z,4663442,51565040,51562569,8
192.197.82.153,en,"Talk:Endorsements for the Liberal Party of Canada leadership election, 2006",2006-05-04T20:20:43Z,4742163,51572502,51527947,580
192.197.82.153,en,"Liberal Party of Canada leadership election, 2006",2006-05-08T23:52:17Z,3827549,52231216,52203985,-19
192.197.82.153,en,Talk:London Central Secondary School,2006-05-15T17:33:13Z,1170165,53348290,52226285,509
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-05-16T19:27:00Z,4663442,53557674,53546044,-289
192.197.82.153,en,Olivia Chow,2006-05-17T23:10:38Z,23976857,53767279,53755840,41
192.197.82.153,en,User:Kc9cqj,2006-05-19T17:42:23Z,1632773,54062165,52079041,38
192.197.82.153,en,User:TheKMan,2006-05-19T17:45:58Z,4019484,54062623,50657032,-200
192.197.82.153,en,User:Kc9cqj,2006-05-19T17:47:05Z,1632773,54062765,54062358,38
192.197.82.153,en,User:TheKMan,2006-05-19T17:48:04Z,4019484,54062917,54062714,-200
192.197.82.153,en,User:TheKMan,2006-05-19T17:49:44Z,4019484,54063127,54063060,-200
192.197.82.153,en,Marymount University,2006-05-24T17:36:22Z,4767206,54916914,54902235,33
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-05-30T13:54:34Z,4663442,55928730,55819995,61
192.197.82.153,en,"Endorsements for the Liberal Party of Canada leadership election, 2006",2006-05-30T13:55:01Z,4663442,55928798,55928730,-29
192.197.82.153,en,User:Hamiltonian,2006-05-31T17:38:52Z,2372125,56163927,55988932,-9
192.197.82.153,en,User talk:Hamiltonian,2006-05-31T17:42:26Z,2284454,56164533,47183066,355
192.197.82.153,en,Bill Siksay,2006-06-02T01:16:21Z,765210,56420576,56346728,36
192.197.82.153,en,Bill Siksay,2006-06-02T02:21:08Z,765210,56428975,56420576,51
192.197.82.153,en,Bill Siksay,2006-06-02T02:22:22Z,765210,56429148,56428975,-25
192.197.82.153,en,Bill Siksay,2006-06-02T02:26:49Z,765210,56429731,56429148,259
192.197.82.153,en,Bill Siksay,2006-06-02T02:28:41Z,765210,56429980,56429731,4
